year,sex,member,covered,age,age_group,race,hisp,educ,citizen,state,weight
2010,Female,FALSE,FALSE,27,25-54,White,Non-Hispanic,Bachelor's degree,US native,MN,618.09915
2017,Male,TRUE,TRUE,29,25-54,White,Non-Hispanic,Some college,US native,WV,276.18365
2010,Female,FALSE,FALSE,38,25-54,White,Non-Hispanic,Bachelor's degree,US native,AR,508.01473999999996
2015,Female,FALSE,FALSE,54,25-54,White,Non-Hispanic,Some college,US native,TX,1156.99043
2013,Female,FALSE,FALSE,27,25-54,White,Hispanic,Bachelor's degree,US native,NH,213.15192000000002
2017,Female,FALSE,FALSE,43,25-54,White,Non-Hispanic,Bachelor's degree,US native,WV,296.0681
2010,Female,FALSE,TRUE,46,25-54,White,Non-Hispanic,Associate degree,US native,WV,468.72821000000005
2011,Female,FALSE,FALSE,47,25-54,White,Non-Hispanic,Associate degree,US native,WV,453.21121999999997
2012,Female,FALSE,FALSE,43,25-54,White,Non-Hispanic,Bachelor's degree,US native,NM,705.66326
2011,Female,FALSE,TRUE,29,25-54,White,Non-Hispanic,Bachelor's degree,US native,NM,594.953
2011,Female,TRUE,TRUE,42,25-54,White,Non-Hispanic,Bachelor's degree,US native,NM,568.80024
2014,Female,FALSE,FALSE,69,55 and over,White,Non-Hispanic,Associate degree,US native,SD,206.65306999999999
2015,Female,FALSE,FALSE,70,55 and over,White,Non-Hispanic,Some college,US native,SD,276.07119
2011,Female,FALSE,FALSE,59,55 and over,White,Non-Hispanic,Associate degree,US native,WV,456.27657
2012,Female,FALSE,FALSE,60,55 and over,White,Non-Hispanic,Associate degree,US native,WV,413.04034
2009,Female,FALSE,FALSE,25,25-54,White,Non-Hispanic,Associate degree,US native,WV,643.9605899999999
2016,Female,FALSE,FALSE,37,25-54,White,Non-Hispanic,Some college,US native,WV,254.26489
2017,Female,FALSE,FALSE,59,55 and over,White,Non-Hispanic,Associate degree,US native,WV,231.54008
2016,Female,FALSE,FALSE,57,55 and over,White,Non-Hispanic,Associate degree,US native,WV,221.57526
2016,Female,FALSE,FALSE,55,55 and over,White,Non-Hispanic,Bachelor's degree,US native,ME,419.2847
2017,Female,FALSE,FALSE,31,25-54,Black,Non-Hispanic,Associate degree,US native,CA,2149.38721
2009,Female,FALSE,TRUE,25,25-54,Black,Non-Hispanic,Bachelor's degree,US native,NY,1207.43233
2016,Female,FALSE,FALSE,47,25-54,Black,Non-Hispanic,Associate degree,US native,MS,406.01394
2015,Female,FALSE,FALSE,46,25-54,Black,Non-Hispanic,Associate degree,US native,MS,372.08315
2010,Female,FALSE,FALSE,56,55 and over,White,Non-Hispanic,Graduate degree,US native,MI,1136.62457
2014,Female,FALSE,FALSE,44,25-54,White,Non-Hispanic,Associate degree,US native,MI,1246.53304
2015,Female,FALSE,FALSE,45,25-54,White,Non-Hispanic,Associate degree,US native,MI,1167.63022
2009,Female,FALSE,FALSE,55,55 and over,White,Non-Hispanic,Graduate degree,US native,MI,1139.38422
2016,Female,FALSE,FALSE,46,25-54,Black,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",FL,1650.6532200000001
2017,Female,FALSE,FALSE,47,25-54,Black,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",FL,1556.51767
2016,Female,FALSE,FALSE,47,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,1249.2907
2016,Female,FALSE,FALSE,49,25-54,Black,Non-Hispanic,Bachelor's degree,US native,FL,1271.61473
2017,Female,FALSE,FALSE,50,25-54,Black,Non-Hispanic,Bachelor's degree,US native,FL,1084.42531
2016,Female,TRUE,TRUE,62,55 and over,White,Non-Hispanic,Bachelor's degree,US native,NY,1361.1808800000001
2017,Female,TRUE,TRUE,62,55 and over,White,Non-Hispanic,Associate degree,US native,NY,1495.42384
2016,Female,FALSE,FALSE,30,25-54,White,Non-Hispanic,Bachelor's degree,US native,SD,205.89646
2016,Male,FALSE,FALSE,32,25-54,White,Non-Hispanic,Bachelor's degree,US native,SD,240.24559
2012,Female,FALSE,FALSE,29,25-54,White,Non-Hispanic,Associate degree,US native,MO,960.67712
2010,Female,FALSE,FALSE,35,25-54,White,Non-Hispanic,Bachelor's degree,US native,ME,184.73423
2017,Female,FALSE,FALSE,35,25-54,Black,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",NJ,1771.80593
2014,Female,TRUE,TRUE,58,55 and over,White,Non-Hispanic,Bachelor's degree,US native,IA,471.14250000000004
2016,Female,FALSE,FALSE,41,25-54,White,Non-Hispanic,Bachelor's degree,US native,FL,1156.4222
2015,Female,FALSE,FALSE,29,25-54,White,Non-Hispanic,Bachelor's degree,US native,FL,1228.1060499999999
2011,Female,FALSE,FALSE,30,25-54,White,Non-Hispanic,Associate degree,US native,KS,617.25874
2010,Female,FALSE,FALSE,29,25-54,White,Non-Hispanic,Associate degree,US native,KS,596.7836500000001
2016,Female,FALSE,FALSE,52,25-54,White,Non-Hispanic,Graduate degree,US native,CT,1127.21264
2016,Female,FALSE,FALSE,37,25-54,White,Non-Hispanic,Bachelor's degree,US native,CT,614.6237
2017,Female,TRUE,TRUE,38,25-54,White,Non-Hispanic,Bachelor's degree,US native,CT,982.33913
2015,Female,TRUE,TRUE,36,25-54,White,Non-Hispanic,Bachelor's degree,US native,WA,1129.07356
2015,Female,FALSE,FALSE,70,55 and over,White,Non-Hispanic,Bachelor's degree,US native,TN,1004.4505499999999
2017,Female,FALSE,FALSE,43,25-54,Asian,Non-Hispanic,Associate degree,"Foreign-born, citizen",MI,1220.5772000000002
2016,Female,FALSE,FALSE,42,25-54,Asian,Non-Hispanic,Associate degree,"Foreign-born, citizen",MI,1883.9629
2017,Female,FALSE,FALSE,50,25-54,American Indian (Alaskan Native),Non-Hispanic,Associate degree,US native,MT,166.36997
2016,Female,FALSE,FALSE,49,25-54,American Indian (Alaskan Native),Non-Hispanic,Associate degree,US native,MT,143.45418999999998
2015,Female,TRUE,TRUE,30,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",NY,1570.43678
2017,Female,FALSE,TRUE,55,55 and over,Black,Non-Hispanic,Bachelor's degree,US native,DC,158.1132
2017,Female,FALSE,FALSE,47,25-54,White,Non-Hispanic,Bachelor's degree,US native,ID,320.9406
2017,Female,FALSE,FALSE,43,25-54,White,Non-Hispanic,Associate degree,US native,NE,416.35189
2016,Female,FALSE,FALSE,42,25-54,White,Non-Hispanic,Associate degree,US native,NE,463.44853
2017,Female,TRUE,TRUE,31,25-54,White,Non-Hispanic,Bachelor's degree,US native,MT,151.67005
2017,Female,TRUE,TRUE,48,25-54,White,Non-Hispanic,Associate degree,US native,AL,776.99516
2017,Female,FALSE,FALSE,43,25-54,White,Non-Hispanic,Bachelor's degree,US native,MT,122.84737
2016,Female,FALSE,FALSE,42,25-54,White,Non-Hispanic,Bachelor's degree,US native,MT,137.81247000000002
2009,Female,FALSE,FALSE,33,25-54,White,Non-Hispanic,Graduate degree,US native,ND,145.09662
2012,Female,FALSE,FALSE,62,55 and over,White,Non-Hispanic,Graduate degree,US native,ND,141.94286
2011,Female,FALSE,TRUE,61,55 and over,White,Non-Hispanic,Some college,US native,ND,136.94211
2010,Female,FALSE,FALSE,32,25-54,White,Non-Hispanic,Bachelor's degree,US native,ND,116.19644000000001
2015,Female,FALSE,FALSE,53,25-54,White,Non-Hispanic,Bachelor's degree,US native,IN,1014.70634
2013,Female,FALSE,FALSE,65,55 and over,White,Non-Hispanic,Bachelor's degree,US native,NC,1376.9584399999999
2014,Female,FALSE,FALSE,66,55 and over,White,Non-Hispanic,Bachelor's degree,US native,NC,1682.1022
2016,Female,TRUE,TRUE,32,25-54,White,Non-Hispanic,Graduate degree,US native,AK,113.35119
2010,Male,FALSE,FALSE,34,25-54,White,Non-Hispanic,Bachelor's degree,US native,TX,1257.76241
2012,Female,FALSE,FALSE,55,55 and over,White,Non-Hispanic,Bachelor's degree,US native,MS,973.0624100000001
2016,Female,FALSE,FALSE,48,25-54,White,Non-Hispanic,Bachelor's degree,US native,MI,1225.47452
2017,Female,FALSE,FALSE,49,25-54,White,Non-Hispanic,Bachelor's degree,US native,MI,1330.7894000000001
2017,Female,FALSE,FALSE,26,25-54,White,Non-Hispanic,Bachelor's degree,US native,MI,1677.81266
2016,Female,TRUE,TRUE,25,25-54,White,Non-Hispanic,Bachelor's degree,US native,MI,1257.45582
2009,Female,FALSE,FALSE,33,25-54,White,Hispanic,Bachelor's degree,US native,TX,1190.39815
2010,Female,FALSE,FALSE,34,25-54,White,Hispanic,Bachelor's degree,US native,TX,1507.7441000000001
2015,Female,FALSE,FALSE,37,25-54,White,Non-Hispanic,Bachelor's degree,US native,AR,377.25313
2014,Female,FALSE,FALSE,25,25-54,White,Non-Hispanic,Bachelor's degree,US native,CA,1501.21093
2016,Female,FALSE,FALSE,69,55 and over,White,Non-Hispanic,Bachelor's degree,US native,MT,147.81665
2015,Female,FALSE,FALSE,68,55 and over,White,Non-Hispanic,Bachelor's degree,US native,MT,147.03438
2014,Female,FALSE,FALSE,36,25-54,White,Non-Hispanic,Graduate degree,US native,TN,876.8023300000001
2009,Female,FALSE,FALSE,51,25-54,White,Non-Hispanic,Bachelor's degree,US native,CO,726.80388
2014,Female,FALSE,FALSE,67,55 and over,White,Non-Hispanic,Associate degree,US native,CO,592.0027
2013,Female,FALSE,FALSE,66,55 and over,White,Non-Hispanic,Bachelor's degree,US native,CO,826.8799000000001
2017,Female,FALSE,FALSE,50,25-54,White,Hispanic,Associate degree,"Foreign-born, citizen",FL,1439.66437
2017,Male,FALSE,FALSE,28,25-54,White,Hispanic,Bachelor's degree,"Foreign-born, citizen",FL,1908.6977900000002
2017,Male,FALSE,FALSE,50,25-54,White,Hispanic,Graduate degree,"Foreign-born, citizen",FL,1305.51353
2012,Female,FALSE,FALSE,24,16-24,White,Non-Hispanic,Bachelor's degree,US native,KY,942.30284
2011,Female,FALSE,FALSE,23,16-24,White,Non-Hispanic,Bachelor's degree,US native,KY,860.2541699999999
2014,Female,FALSE,FALSE,43,25-54,White,Non-Hispanic,Associate degree,US native,TX,1290.90764
2013,Female,FALSE,FALSE,43,25-54,White,Non-Hispanic,Associate degree,US native,TX,1469.6317199999999
2016,Female,FALSE,FALSE,52,25-54,White,Non-Hispanic,Associate degree,US native,FL,1335.12119
2015,Female,FALSE,FALSE,68,55 and over,White,Non-Hispanic,Graduate degree,US native,NH,271.60563
2016,Female,FALSE,FALSE,69,55 and over,White,Non-Hispanic,Graduate degree,US native,NH,287.19402
2016,Female,TRUE,TRUE,67,55 and over,White,Non-Hispanic,Associate degree,US native,NY,1228.50027
2015,Female,FALSE,TRUE,66,55 and over,White,Non-Hispanic,Associate degree,US native,NY,1364.63912
2014,Female,FALSE,FALSE,43,25-54,White,Non-Hispanic,Associate degree,US native,VA,969.88981
2016,Female,FALSE,FALSE,34,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, non-citizen",OH,1156.4072099999998
2011,Female,FALSE,FALSE,37,25-54,White,Non-Hispanic,Associate degree,US native,OH,1328.68143
2012,Female,FALSE,FALSE,38,25-54,White,Non-Hispanic,Associate degree,US native,OH,1361.2086100000001
2017,Female,FALSE,FALSE,38,25-54,White,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",OH,1212.58619
2016,Female,FALSE,FALSE,37,25-54,White,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",OH,1202.31263
2015,Female,FALSE,FALSE,32,25-54,White,Non-Hispanic,Bachelor's degree,US native,MO,1086.90561
2016,Female,FALSE,FALSE,70,55 and over,White,Non-Hispanic,Graduate degree,US native,NY,1174.8841
2015,Female,FALSE,FALSE,68,55 and over,White,Non-Hispanic,Graduate degree,US native,NY,1385.72657
2017,Female,TRUE,TRUE,47,25-54,White,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",IL,1413.64662
2012,Female,FALSE,FALSE,36,25-54,White,Non-Hispanic,Bachelor's degree,US native,NE,293.21696000000003
2017,Female,FALSE,FALSE,23,16-24,White,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",MI,1526.82706
2016,Female,FALSE,TRUE,44,25-54,Asian,Non-Hispanic,Graduate degree,"Foreign-born, citizen",NY,1295.79003
2014,Female,FALSE,FALSE,39,25-54,White,Non-Hispanic,Some college,US native,AR,459.32525999999996
2009,Female,FALSE,FALSE,60,55 and over,White,Non-Hispanic,Associate degree,US native,DE,165.83769
2015,Female,FALSE,FALSE,33,25-54,Black,Non-Hispanic,Bachelor's degree,US native,DC,135.50313
2012,Female,FALSE,FALSE,32,25-54,White,Non-Hispanic,No high school,"Foreign-born, non-citizen",CA,1209.93302
2012,Female,FALSE,FALSE,61,55 and over,White,Non-Hispanic,Associate degree,US native,LA,1147.7397
2011,Female,FALSE,FALSE,60,55 and over,White,Non-Hispanic,Bachelor's degree,US native,LA,1165.31384
2012,Female,FALSE,FALSE,50,25-54,White,Non-Hispanic,Associate degree,US native,RI,178.55515
2013,Female,FALSE,FALSE,51,25-54,White,Non-Hispanic,Associate degree,US native,RI,184.3136
2017,Female,FALSE,FALSE,36,25-54,Black,Non-Hispanic,Bachelor's degree,US native,DE,309.94182
2013,Female,FALSE,FALSE,31,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",WA,1330.8511
2009,Female,FALSE,FALSE,50,25-54,Asian,Non-Hispanic,Associate degree,US native,WA,1148.65998
2009,Female,FALSE,FALSE,49,25-54,White,Non-Hispanic,Associate degree,US native,AR,961.08984
2010,Female,FALSE,FALSE,50,25-54,White,Non-Hispanic,Associate degree,US native,AR,1020.883
2017,Female,FALSE,FALSE,25,25-54,White,Non-Hispanic,Bachelor's degree,US native,AR,479.97694
2015,Female,FALSE,FALSE,30,25-54,White,Non-Hispanic,Bachelor's degree,US native,AL,888.01823
2014,Female,FALSE,FALSE,29,25-54,White,Non-Hispanic,Bachelor's degree,US native,AL,759.34809
2015,Female,FALSE,FALSE,42,25-54,White,Non-Hispanic,Associate degree,US native,KY,843.52561
2016,Female,FALSE,FALSE,59,55 and over,White,Non-Hispanic,Bachelor's degree,US native,AL,693.26883
2009,Female,FALSE,FALSE,59,55 and over,White,Non-Hispanic,Associate degree,US native,WV,381.44036
2013,Female,FALSE,FALSE,36,25-54,White,Non-Hispanic,Bachelor's degree,US native,KS,646.00756
2016,Female,FALSE,FALSE,31,25-54,White,Non-Hispanic,Some college,US native,AL,621.94994
2015,Female,FALSE,FALSE,60,55 and over,White,Non-Hispanic,Associate degree,US native,VA,1186.29959
2011,Female,TRUE,TRUE,47,25-54,White,Non-Hispanic,Bachelor's degree,US native,RI,192.27383
2010,Female,FALSE,FALSE,46,25-54,White,Non-Hispanic,Bachelor's degree,US native,RI,165.10074
2012,Female,FALSE,FALSE,36,25-54,White,Non-Hispanic,Graduate degree,US native,WI,831.9624200000001
2011,Female,FALSE,FALSE,40,25-54,White,Non-Hispanic,Bachelor's degree,US native,WI,902.5281499999999
2013,Female,FALSE,FALSE,37,25-54,White,Non-Hispanic,Graduate degree,US native,WI,963.66464
2011,Female,FALSE,FALSE,55,55 and over,White,Non-Hispanic,Bachelor's degree,US native,WI,850.7160799999999
2009,Female,FALSE,FALSE,29,25-54,White,Non-Hispanic,Associate degree,US native,WI,968.78681
2011,Female,FALSE,FALSE,55,55 and over,White,Non-Hispanic,Completed high school,US native,WI,850.7160799999999
2013,Female,FALSE,FALSE,42,25-54,White,Non-Hispanic,Bachelor's degree,US native,WI,843.57546
2014,Female,FALSE,FALSE,27,25-54,White,Non-Hispanic,Bachelor's degree,US native,VA,1372.80421
2015,Female,FALSE,FALSE,28,25-54,White,Non-Hispanic,Bachelor's degree,US native,VA,1426.44004
2009,Female,FALSE,FALSE,41,25-54,White,Non-Hispanic,Graduate degree,US native,VA,1110.63022
2017,Female,FALSE,FALSE,56,55 and over,White,Non-Hispanic,Associate degree,US native,KY,910.17554
2017,Female,FALSE,FALSE,26,25-54,White,Non-Hispanic,Associate degree,US native,CA,1525.35157
2016,Female,FALSE,FALSE,31,25-54,White,Hispanic,Graduate degree,US native,FL,1467.79735
2015,Female,FALSE,FALSE,30,25-54,White,Hispanic,Graduate degree,US native,FL,1511.22644
2009,Female,FALSE,FALSE,56,55 and over,White,Non-Hispanic,Associate degree,US native,WY,86.60167
2011,Female,FALSE,FALSE,57,55 and over,Other,Non-Hispanic,Bachelor's degree,US native,WY,168.50878
2012,Female,FALSE,FALSE,58,55 and over,Other,Non-Hispanic,Bachelor's degree,US native,WY,123.43257000000001
2012,Female,FALSE,FALSE,46,25-54,White,Non-Hispanic,Associate degree,US native,WY,105.45272
2012,Male,TRUE,TRUE,29,25-54,White,Non-Hispanic,Bachelor's degree,US native,AR,785.79295
2013,Male,FALSE,FALSE,29,25-54,White,Non-Hispanic,Bachelor's degree,US native,AR,864.62465
2016,Female,FALSE,FALSE,54,25-54,White,Non-Hispanic,Bachelor's degree,US native,AR,475.28545
2017,Female,FALSE,FALSE,55,55 and over,White,Non-Hispanic,Bachelor's degree,US native,AR,495.44713
2010,Female,FALSE,FALSE,56,55 and over,White,Non-Hispanic,Bachelor's degree,US native,ME,195.50093999999999
2011,Female,FALSE,FALSE,57,55 and over,White,Non-Hispanic,Bachelor's degree,US native,ME,211.85895999999997
2017,Female,FALSE,FALSE,50,25-54,White,Non-Hispanic,Associate degree,US native,NY,1273.2365599999998
2015,Female,FALSE,FALSE,38,25-54,Black,Non-Hispanic,No high school,US native,VA,1172.80673
2012,Female,FALSE,FALSE,24,16-24,White,Non-Hispanic,Bachelor's degree,US native,ME,290.28367
2013,Female,FALSE,FALSE,30,25-54,White,Non-Hispanic,Bachelor's degree,US native,ME,276.45698000000004
2015,Female,FALSE,FALSE,32,25-54,White,Non-Hispanic,Associate degree,US native,AL,668.25521
2016,Female,FALSE,FALSE,34,25-54,White,Non-Hispanic,Associate degree,US native,AL,571.2212400000001
2017,Female,FALSE,FALSE,40,25-54,White,Non-Hispanic,Bachelor's degree,US native,WV,208.82655
2012,Female,TRUE,TRUE,50,25-54,White,Non-Hispanic,Bachelor's degree,US native,NJ,1055.02781
2011,Female,TRUE,TRUE,48,25-54,White,Non-Hispanic,Bachelor's degree,US native,NJ,1142.67768
2011,Female,FALSE,FALSE,62,55 and over,White,Non-Hispanic,Bachelor's degree,US native,NJ,1190.44093
2010,Female,FALSE,FALSE,34,25-54,Black,Non-Hispanic,Bachelor's degree,US native,MD,793.8092899999999
2011,Female,FALSE,FALSE,35,25-54,Black,Non-Hispanic,Bachelor's degree,US native,MD,993.92786
2014,Male,FALSE,FALSE,47,25-54,Black,Non-Hispanic,Bachelor's degree,US native,AR,757.29268
2014,Female,FALSE,FALSE,58,55 and over,Black,Non-Hispanic,Bachelor's degree,US native,AR,466.43252
2017,Female,FALSE,FALSE,31,25-54,Black,Non-Hispanic,Graduate degree,US native,AR,575.54607
2011,Female,FALSE,FALSE,47,25-54,White,Non-Hispanic,Bachelor's degree,US native,VT,137.95435
2012,Female,FALSE,FALSE,48,25-54,White,Non-Hispanic,Bachelor's degree,US native,VT,137.55359
2013,Female,FALSE,TRUE,27,25-54,White,Non-Hispanic,Bachelor's degree,US native,MT,327.86769
2014,Female,FALSE,FALSE,28,25-54,White,Non-Hispanic,Bachelor's degree,US native,MT,291.90574000000004
2013,Female,FALSE,FALSE,45,25-54,White,Non-Hispanic,Associate degree,US native,OR,832.72181
2014,Female,FALSE,FALSE,46,25-54,White,Non-Hispanic,Associate degree,US native,OR,859.0685799999999
2011,Female,FALSE,FALSE,55,55 and over,White,Non-Hispanic,Associate degree,US native,FL,1412.79046
2013,Female,FALSE,FALSE,41,25-54,White,Non-Hispanic,Bachelor's degree,US native,FL,1480.97962
2010,Female,TRUE,TRUE,34,25-54,White,Non-Hispanic,Bachelor's degree,US native,RI,234.60435999999999
2011,Female,TRUE,TRUE,35,25-54,White,Non-Hispanic,Bachelor's degree,US native,RI,249.01807
2016,Female,TRUE,TRUE,45,25-54,White,Non-Hispanic,Bachelor's degree,US native,FL,1284.81899
2017,Female,FALSE,FALSE,47,25-54,White,Non-Hispanic,Bachelor's degree,US native,FL,1238.69226
2017,Female,FALSE,FALSE,55,55 and over,White,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",WA,1259.349
2016,Female,FALSE,FALSE,54,25-54,White,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",WA,1254.14387
2017,Female,TRUE,TRUE,36,25-54,White,Hispanic,Bachelor's degree,"Foreign-born, citizen",WA,1238.27602
2015,Female,FALSE,FALSE,35,25-54,White,Non-Hispanic,Associate degree,US native,SC,758.11202
2011,Female,FALSE,FALSE,34,25-54,White,Non-Hispanic,Associate degree,US native,SC,1150.2254
2014,Female,FALSE,FALSE,25,25-54,White,Non-Hispanic,Bachelor's degree,US native,NY,1544.61471
2013,Female,FALSE,FALSE,64,55 and over,White,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",NY,1055.59044
2014,Female,FALSE,FALSE,33,25-54,White,Non-Hispanic,Bachelor's degree,US native,CA,1269.84078
2010,Female,FALSE,FALSE,39,25-54,White,Non-Hispanic,Bachelor's degree,US native,IN,1100.8048000000001
2012,Female,FALSE,FALSE,47,25-54,White,Non-Hispanic,Bachelor's degree,US native,IN,1246.0476800000001
2012,Female,FALSE,FALSE,23,16-24,White,Hispanic,Bachelor's degree,US native,CO,736.55591
2017,Female,FALSE,FALSE,58,55 and over,White,Non-Hispanic,Associate degree,US native,FL,1539.0587
2016,Female,FALSE,FALSE,57,55 and over,White,Non-Hispanic,Associate degree,US native,FL,1526.9109700000001
2017,Female,FALSE,FALSE,29,25-54,White,Non-Hispanic,Associate degree,US native,ME,434.52583000000004
2016,Female,FALSE,FALSE,31,25-54,White,Non-Hispanic,Bachelor's degree,US native,MI,1381.76754
2015,Female,FALSE,FALSE,30,25-54,White,Non-Hispanic,Bachelor's degree,US native,MI,1247.09152
2016,Female,FALSE,FALSE,44,25-54,White,Non-Hispanic,Bachelor's degree,US native,MI,1212.71973
2016,Male,FALSE,FALSE,38,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",FL,1478.08318
2017,Male,FALSE,FALSE,39,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",FL,1372.97398
2016,Female,FALSE,FALSE,53,25-54,White,Non-Hispanic,Associate degree,US native,PA,1234.73391
2015,Female,FALSE,FALSE,26,25-54,White,Non-Hispanic,Associate degree,US native,LA,625.06974
2011,Female,FALSE,FALSE,57,55 and over,White,Non-Hispanic,Some college,US native,KS,694.90611
2012,Female,FALSE,FALSE,58,55 and over,White,Non-Hispanic,Some college,US native,KS,774.42116
2016,Female,FALSE,FALSE,40,25-54,Black,Non-Hispanic,Bachelor's degree,US native,NY,1388.61259
2017,Female,FALSE,FALSE,38,25-54,White,Non-Hispanic,Graduate degree,US native,TX,1367.09149
2017,Female,FALSE,FALSE,34,25-54,White,Non-Hispanic,Graduate degree,US native,CO,1125.75782
2016,Female,FALSE,FALSE,33,25-54,White,Non-Hispanic,Bachelor's degree,US native,CO,1092.74727
2016,Female,FALSE,FALSE,36,25-54,White,Non-Hispanic,Bachelor's degree,US native,OR,755.6186700000001
2015,Female,FALSE,FALSE,35,25-54,White,Non-Hispanic,Bachelor's degree,US native,OR,720.58866
2015,Female,FALSE,FALSE,33,25-54,Hawaiian/Pacific Islander,Non-Hispanic,Bachelor's degree,"Foreign-born, non-citizen",LA,727.83233
2009,Female,FALSE,FALSE,45,25-54,White,Non-Hispanic,Bachelor's degree,US native,KY,757.0548
2010,Female,FALSE,FALSE,46,25-54,White,Non-Hispanic,Bachelor's degree,US native,KY,921.9633299999999
2009,Female,FALSE,FALSE,44,25-54,White,Non-Hispanic,Graduate degree,US native,TX,1244.72604
2009,Female,FALSE,FALSE,42,25-54,White,Non-Hispanic,Bachelor's degree,US native,TX,1536.83208
2010,Female,FALSE,FALSE,43,25-54,White,Non-Hispanic,Bachelor's degree,US native,TX,1435.65752
2016,Female,FALSE,FALSE,58,55 and over,Black,Non-Hispanic,Bachelor's degree,US native,AR,724.98868
2017,Female,TRUE,TRUE,59,55 and over,Black,Non-Hispanic,Bachelor's degree,US native,AR,577.57001
2009,Female,FALSE,FALSE,50,25-54,White,Non-Hispanic,Bachelor's degree,US native,NE,286.12383
2014,Male,TRUE,TRUE,43,25-54,White,Non-Hispanic,Bachelor's degree,US native,OR,831.13484
2016,Female,FALSE,FALSE,64,55 and over,White,Non-Hispanic,Associate degree,US native,LA,521.32296
2014,Female,FALSE,FALSE,29,25-54,White,Non-Hispanic,Graduate degree,US native,SD,279.89243
2016,Female,TRUE,TRUE,42,25-54,White,Non-Hispanic,Bachelor's degree,US native,VT,131.10581
2013,Female,FALSE,FALSE,36,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",HI,213.01880999999997
2012,Female,FALSE,FALSE,51,25-54,White,Non-Hispanic,Graduate degree,US native,HI,202.17281
2017,Female,TRUE,TRUE,31,25-54,Asian,Non-Hispanic,Associate degree,"Foreign-born, non-citizen",HI,224.16837
2017,Female,FALSE,FALSE,62,55 and over,White,Non-Hispanic,Bachelor's degree,US native,CT,1005.5465099999999
2016,Female,FALSE,FALSE,60,55 and over,White,Non-Hispanic,Graduate degree,US native,CT,897.29259
2016,Female,FALSE,FALSE,36,25-54,White,Non-Hispanic,Bachelor's degree,US native,FL,1251.97363
2017,Male,FALSE,FALSE,40,25-54,White,Non-Hispanic,Associate degree,US native,AR,607.37082
2016,Female,FALSE,FALSE,46,25-54,White,Non-Hispanic,Bachelor's degree,US native,DE,229.09938000000002
2016,Female,TRUE,TRUE,39,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",HI,240.13716
2017,Female,TRUE,TRUE,40,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",HI,292.1902
2016,Male,FALSE,FALSE,61,55 and over,Asian,Non-Hispanic,Bachelor's degree,US native,HI,228.92928999999998
2014,Female,TRUE,TRUE,33,25-54,White,Non-Hispanic,Bachelor's degree,US native,ME,323.28426
2015,Female,TRUE,TRUE,34,25-54,White,Non-Hispanic,Bachelor's degree,US native,ME,418.08341
2016,Male,FALSE,FALSE,70,55 and over,White,Non-Hispanic,Associate degree,US native,MN,1263.17638
2016,Female,FALSE,FALSE,25,25-54,White,Non-Hispanic,Bachelor's degree,US native,MA,1041.9092699999999
2012,Female,FALSE,FALSE,46,25-54,Black,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",PA,1264.98097
2013,Female,FALSE,FALSE,47,25-54,Black,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",PA,1050.68455
2011,Female,FALSE,FALSE,40,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",AK,140.77727
2012,Female,TRUE,TRUE,41,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",AK,162.38901
2016,Female,FALSE,FALSE,24,16-24,White,Non-Hispanic,Bachelor's degree,US native,NY,1708.4028600000001
2014,Female,FALSE,FALSE,54,25-54,White,Non-Hispanic,Bachelor's degree,US native,PA,1405.93435
2013,Female,FALSE,FALSE,53,25-54,White,Non-Hispanic,Bachelor's degree,US native,PA,1131.27408
2010,Female,FALSE,FALSE,34,25-54,Black,Non-Hispanic,Bachelor's degree,US native,LA,1025.71858
2017,Female,FALSE,FALSE,30,25-54,White,Non-Hispanic,Graduate degree,US native,MA,889.7274100000001
2017,Female,TRUE,TRUE,28,25-54,White,Non-Hispanic,Bachelor's degree,US native,WY,123.13699999999999
2017,Female,FALSE,FALSE,30,25-54,American Indian (Alaskan Native),Non-Hispanic,Associate degree,US native,AK,159.87251
